"Adresse","Occurrences","H1-1","Longueur du H1-1","Indexabilité","Statut d'indexabilité"
"https://fitclem.fr/collections/nouveautes","0","","0","Indexable",""
"https://fitclem.fr/collections/bien-etre-et-beaute","0","","0","Indexable",""
"https://fitclem.fr/collections/programmes-gratuits","0","","0","Indexable",""
"https://fitclem.fr/pages/rewards","0","","0","Indexable",""
"https://fitclem.fr/collections/nutrition-sportive","0","","0","Indexable",""
"https://fitclem.fr/pages/a-propos","0","","0","Indexable",""
"https://fitclem.fr/collections/collations","0","","0","Indexable",""
"https://fitclem.fr/collections/perte-de-poids","0","","0","Indexable",""
"https://fitclem.fr/collections/minceur","0","","0","Indexable",""
"https://fitclem.fr/collections/nos-shakers-minceur","0","","0","Indexable",""
