"Adresse","Occurrences","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Indexabilité","Statut d'indexabilité"
"https://www.rougier-ple.fr/plume-pompon-paillette.r.html","35","Plume de coq Pastel 7 cm x 20 pcs - Graine Créative","51","Mini cœurs 7 couleurs 15g - Artemio","35","Indexable",""
"https://www.rougier-ple.fr/les-marques.r.html","35","Coffret Huile Studio XL couleurs complémentaires 12 x 20 ml - Pébéo","67","Coffret Studio Acrylics haute viscosité 48 x 20 ml - Pébéo","58","Indexable",""
"https://www.rougier-ple.fr/encre-de-chine-2997.r.html","35","Set de calligraphie Scolaire - Corect'Art","41","Set de calligraphie Onciale - Corect'Art","40","Indexable",""
"https://www.rougier-ple.fr/aerographie.r.html","4","Matières","8","Supports","8","Indexable",""
"https://www.rougier-ple.fr/sac-artiste-carton-dessin-1588.r.html","32","Carton à dessin brut 37 x 52 cm - Canson","40","Sac artiste 76 x 62 x 6 cm Anses rouges - Rougier&Plé","53","Indexable",""
"https://www.rougier-ple.fr/cricut-autopress-professionnelle.r.html","5","Description","11","Caractéristiques","16","Indexable",""
"https://www.rougier-ple.fr/peinture-gouache.r.html","11","Matières","8","Supports","8","Indexable",""
"https://www.rougier-ple.fr/stylo-quatre-couleurs.r.html","25","Mini Stylo à bille 4 couleurs Dino - Legami","43","Stylo bille 4 couleurs Minions - Bic","36","Indexable",""
"https://www.rougier-ple.fr/reliure.r.html","3","Matière","7","Outil","5","Indexable",""
"https://www.rougier-ple.fr/faq.r.html","17","Nos magasins","12","Comment exposer ?","17","Indexable",""
"https://www.rougier-ple.fr/enfant-deco-anniversaire.r.html","23","Bâton multicolore pour pinata 50 cm - ScrapCooking","50","Mini-guirlande décoration 1m - Rayher","37","Indexable",""
"https://www.rougier-ple.fr/book.r.html","17","Recharge pour Press-book A3 par 10 - Daler Rowney","49","Press-book Graduate A3 - Daler Rowney","37","Indexable",""
"https://www.rougier-ple.fr/pate-modeler-1598.r.html","35","Pâte à modeler souple Soft Dough au blé 116 g - MILAN","53","Pâte à modeler Junior 100 g - Das","33","Indexable",""
"https://www.rougier-ple.fr/papier-technique.r.html","35","Papier calque satin 90 g/m² A4 Bloc de 50 feuilles croquis échelle - Canson","75","Bloc papier Encres à alcool 90g/m² 25F - Clairefontaine","55","Indexable",""
"https://www.rougier-ple.fr/accessoire-arts-graphiques.r.html","35","Gomme Master gum 5 pcs - Milan","30","Nettoyant aérographie 200 ml - Prince August","44","Indexable",""
"https://www.rougier-ple.fr/gomme-1591.r.html","35","Set de 5 gommes fantaisie Diddl - Diddl et ses amis","51","Gomme Master gum 5 pcs - Milan","30","Indexable",""
"https://www.rougier-ple.fr/encadrement/cadre-en-bois.r.html","35","Cadre Vitrine XXL Brut + Passe-partout - Rougier&Plé","52","Cadre Vitrine XXL Blanc + Passe-partout - Rougier&Plé","53","Indexable",""
"https://www.rougier-ple.fr/cyanotype.r.html","16","Carnet de notes A5 14,8 x 21 cm Lignées Édition 170 ans - Rougier&Plé","69","Livre Expériences Cyanotypes - Marabout","39","Indexable",""
"https://www.rougier-ple.fr/colle-adhesif.r.html","35","Colle Bois Cléo'TECH 30 g - Cléopatre","37","Colle en spray Aéro'Colle 250 ml - Cléopatre","44","Indexable",""
"https://www.rougier-ple.fr/cosmetiques.r.html","35","Robot pour cosmétique et Balance de précision - BeautyMix","57","Coffret Je prends Soin de ma Peau - WAAM","40","Indexable",""
"https://www.rougier-ple.fr/puzzle-enfants.r.html","35","Puzzle Observation 200 pcs Carnaval de Rio - Djeco","50","Maquette 3D en bois Engin Lunaire - EWA","39","Indexable",""
"https://www.rougier-ple.fr/crayon-de-couleur-feutre.r.html","35","Set de 5 gommes fantaisie Diddl - Diddl et ses amis","51","Crayon à papier Diddl - Diddl et ses amis","41","Indexable",""
"https://www.rougier-ple.fr/peinture-chaussures-vetements.r.html","35","Feutre Posca PC-5BR pointe brush - Uni","38","Mallette Posca Doodle 20 Marqueurs Peinture - Uni","49","Indexable",""
"https://www.rougier-ple.fr/chevalet-1587.r.html","28","Mini-toile en coton avec chevalet de présentation 6 x 8 cm - Rougier&Plé","72","Chevalet en bois + tableau 10 x 18 cm - Rayher","46","Indexable",""
"https://www.rougier-ple.fr/dessin-technique.r.html","4","Matières","8","Supports","8","Indexable",""
"https://www.rougier-ple.fr/pastel-1589.r.html","35","Set de 5 couleurs chaudes - PanPastel","37","Set de 5 couleurs froides - PanPastel","37","Indexable",""
"https://www.rougier-ple.fr/silicone-latex.r.html","18","Silicone pour Prothèse Platsil Gel 10 - 1 kg - Esprit Composite","63","Lait de latex R&P 1 L - Rougier&Plé","35","Indexable",""
"https://www.rougier-ple.fr/calame.r.html","14","Poster pen 5 mm - Corect'Art","28","Poster pen 6 mm - Corect'Art","28","Indexable",""
"https://www.rougier-ple.fr/regle-reglet-echelle.r.html","35","Règles courbées & Mini règle 3 pcs - Clover","43","Règle plate 50 cm - M+R","23","Indexable",""
"https://www.rougier-ple.fr/entreprise.r.html","2","L'Histoire de Rougier & Plé","27","Le premier magasin Rougier&Plé a vu le jour à Paris en 1854, en proposant à une clientèle d’artisans le matériel spécifique à leur pratique.","140","Indexable",""
"https://www.rougier-ple.fr/format-raisin.r.html","35","Papier aquarelle Sugar Cane 290 g 50 x 65 cm - 1 feuille - Hahnemühle","69","Papier à dessin Manipack 50 x 65 cm 120 g/m² 15 pcs - Rougier&Plé","65","Indexable",""
"https://www.rougier-ple.fr/paques.r.html","35","Kit créatif fleurs en papier crépon - Rayher","44","Surligneur BOSS ORIGINAL NatureCOLORS Edition Wild Flowers - Stabilo","68","Indexable",""
"https://www.rougier-ple.fr/peinture-huile.r.html","12","Matières","8","Supports","8","Indexable",""
"https://www.rougier-ple.fr/beaux-arts/huile.r.html","35","Coffret Huile Studio XL couleurs complémentaires 12 x 20 ml - Pébéo","67","Coffret Huile Studio XL couleurs basiques 12 x 20 ml - Pébéo","60","Indexable",""
"https://www.rougier-ple.fr/peinture-par-numero.r.html","35","Peinture par numéros 30 x 30 cm Flower Power Aïssa - Oz International","69","Peinture par numéro Petit pinceau Tout Schuss - La petite épicerie","66","Indexable",""
"https://www.rougier-ple.fr/posca-1315.r.html","32","Feutre Posca PC-5BR pointe brush - Uni","38","Mallette Posca Doodle 20 Marqueurs Peinture - Uni","49","Indexable",""
"https://www.rougier-ple.fr/materiel-architecture.r.html","35","Carton plume 10mm classique - Canson","36","Carton plume 5mm classique - Canson","35","Indexable",""
"https://www.rougier-ple.fr/ciseaux-colle.r.html","35","Lot de masking tape Moutons et fleurs 5 m Saute-mouton 2 pcs - Artemio","70","Lot de masking tape Poules et œufs 5 m Saute-mouton 2 pcs - Artemio","67","Indexable",""
"https://www.rougier-ple.fr/moule-resine.r.html","35","Moule Bougie Papillon de nuit - Graine Créative","47","Moule Bougie Bouche - Graine Créative","37","Indexable",""
"https://www.rougier-ple.fr/presse.r.html","2","Sylvie Peron - Service Marketing Tél. 01 79 41 73 80 – sylvie.peron@rougieretple.fr","83","Sylvie Peron - Service Marketing Tél. 01 79 41 73 80 – sylvie.peron@rougieretple.fr","83","Indexable",""
"https://www.rougier-ple.fr/magasins.r.html","3","Localisez un magasin en utilisant le menu ci-dessous :","54","Localisez un magasin en utilisant la carte ci-dessous :","55","Indexable",""
"https://www.rougier-ple.fr/objets-decorer-bois-papier-mache.r.html","35","Étoile Plastique Cristal 8 cm - Graine Créative","47","Panier à oeufs en papier mâché - Décopatch","42","Indexable",""
"https://www.rougier-ple.fr/crea-1257.r.html","35","Cadre en bois Gaëlle 20 blanc + passe-partout - Créa","52","Cadre en bois Gaëlle 20 Noir + passe-partout - Créa","51","Indexable",""
"https://www.rougier-ple.fr/crayon-porte-mine-mine.r.html","35","Porte-mine MONO graph 0,7 mm Rose néon - Tombow","47","Porte-mine MONO graph 0,7 mm Vert néon - Tombow","47","Indexable",""
"https://www.rougier-ple.fr/pastel.r.html","13","Matières","8","Supports","8","Indexable",""
"https://www.rougier-ple.fr/plan-du-site.r.html","63","Catalogue produit","17","CATALOGUE","9","Indexable",""
"https://www.rougier-ple.fr/calligraphie.r.html","4","Matières","8","Supports","8","Indexable",""
"https://www.rougier-ple.fr/paiement-securise.r.html","0","","0","","0","Indexable",""
"https://www.rougier-ple.fr/porte-mine-etui-mine.r.html","35","Porte crayon pastel - Sennelier","31","Porte-mine MONO graph 0,7 mm Rose néon - Tombow","47","Indexable",""
"https://www.rougier-ple.fr/sac-de-transport-carton-dessin-tube.r.html","34","Carton à dessin brut 37 x 52 cm - Canson","40","Sac artiste 76 x 62 x 6 cm Anses rouges - Rougier&Plé","53","Indexable",""
"https://www.rougier-ple.fr/reception.r.html","35","Pollen - 25 cartes rectangulaires triptyques 16 x 16 cm - Vert jade - Pollen","76","Carte faire-part 75 x 100 mm Bleu lavande 20 pcs - Pollen","57","Indexable",""
"https://www.rougier-ple.fr/trousse-2996.r.html","35","Trousse peluche Diddl Classique - Diddl et ses amis","51","Trousse peluche 3D Diddl Deluxe - Diddl et ses amis","51","Indexable",""
"https://www.rougier-ple.fr/restauration.r.html","4","Matières","8","Supports","8","Indexable",""
"https://www.rougier-ple.fr/papier-reliure.r.html","35","Papier Toile du Marais 68,5 x 50 cm - Esprit Papier","51","Papier PVC Zafiro 50 x 70 cm 200 g/m² - Esprit Papier","53","Indexable",""
"https://www.rougier-ple.fr/herbier-jeu-exploration.r.html","10","Pots avec Graines 6 pcs - MGM","29","Jardinière 4 Plantes Aromatiques - MGM","38","Indexable",""
"https://www.rougier-ple.fr/stylo-stylo-plume.r.html","35","Feutre Permanent Joy 1 mm 3 pcs Noir - Cricut","45","Feutre Permanent Joy 1 mm 3 couleurs - Cricut","45","Indexable",""
"https://www.rougier-ple.fr/accessoire-encadrement.r.html","35","Agrafes pour encadrement 8 mm 2400 pcs","38","Agrafeuse encadrement","21","Indexable",""
"https://www.rougier-ple.fr/feutre-marqueur.r.html","35","Feutre peinture Acrylic marker 4 mm ronde - Pébéo","49","Feutre Acrylic Marker Pointe large 5 - 15 mm - Pébéo","52","Indexable",""
"https://www.rougier-ple.fr/les-marques/charbonnel.r.html","8","Encre Charbonnel taille douce 200 ml noire Luxe C - Lefranc Bourgeois","69","Encre Charbonnel Aqua Wash 60 ml - Lefranc Bourgeois","52","Indexable",""
"https://www.rougier-ple.fr/livre.r.html","35","Mes grandes gomettes repositionnables Pâques - Hemma","52","Mes cuties colos Joyeuses Pâques - Hemma","40","Indexable",""
"https://www.rougier-ple.fr/cadre-sous-verre.r.html","35","Cadre Vitrine XXL Brut + Passe-partout - Rougier&Plé","52","Cadre Vitrine XXL Blanc + Passe-partout - Rougier&Plé","53","Indexable",""
"https://www.rougier-ple.fr/scrapbooking.r.html","15","Matières Scrapbooking","21","Supports Scrapbooking","21","Indexable",""
"https://www.rougier-ple.fr/feutres-alcool.r.html","35","Marqueurs Goldfaber Sketch Double Pointe Automobile Boîte de 6 - Faber-Castell","78","Marqueurs Goldfaber Sketch Double Pointe Architecture Boîte de 6 - Faber-Castell","80","Indexable",""
"https://www.rougier-ple.fr/beaux-arts/gouache.r.html","35","Gouache extra-fine 14 ml - Linel","32","Gouache extra-fine 60 ml - Linel","32","Indexable",""
"https://www.rougier-ple.fr/loisirs-argile-autodurcissante.r.html","13","Pâte à modeler Junior 100 g - Das","33","Pâte à modeler Ultra Light Autodurcissante 125 g - Rayher","57","Indexable",""
"https://www.rougier-ple.fr/peinture-acrylique.r.html","10","Matières","8","Supports","8","Indexable",""
"https://www.rougier-ple.fr/contact.r.html","0","","0","","0","Indexable",""
"https://www.rougier-ple.fr/meilleures-ventes2.r.html","35","Feutre alcool double-pointe Promarker - Winsor & Newton","55","Crayon de couleur Luminance 6901 - Caran d'Ache","47","Indexable",""
"https://www.rougier-ple.fr/cartable.r.html","9","Cartable 38 cm Emilie marine - Tann's","37","Cartable 38 cm Alba - Tann's","28","Indexable",""
"https://www.rougier-ple.fr/sennelier.r.html","35","Porte crayon pastel - Sennelier","31","Pastels à l'écu Coffret carton magnétique 12 pastels - Sennelier","64","Indexable",""
"https://www.rougier-ple.fr/plume-calame.r.html","35","Brosse imitation martre série 85346 Mini Précision - Raphaël","60","Plumier 2 compartiments avec contenu Roller 2 - MILAN","53","Indexable",""
"https://www.rougier-ple.fr/nouveautes2.r.html","35","Marque-pages à colorier Petites boutiques cosy - Dessain et Tolra","65","Marque-pages à colorier Ma petite maison cosy - Dessain et Tolra","64","Indexable",""
"https://www.rougier-ple.fr/modelage-fimo-pate-modeler-loisir.r.html","4","Matières","8","Supports","8","Indexable",""
"https://www.rougier-ple.fr/aerographe-compresseur.r.html","8","Aérographe Haute Définition A112 - Prince August","48","Coffret Aérographe Ultra Polyvalent A011 - Prince August","56","Indexable",""
"https://www.rougier-ple.fr/les-marques-rougier-ple.r.html","35","Set de 3 spalters en poils synthétiques - Rougier&Plé","53","Châssis Mixte polyester + coton Lot de 4 pcs 40 x 40 cm - Rougier&Plé","69","Indexable",""
"https://www.rougier-ple.fr/peluche-poupee-diy.r.html","35","Peluche Loupsily 26 cm - Diddl et ses amis","42","Peluche Diddlina en robe ballerina 30 cm - Diddl et ses amis","60","Indexable",""
"https://www.rougier-ple.fr/decoupage-pliage-gomette.r.html","35","Papier origami doré 12 x 12 cm 36 feuilles - My Mandarine","57","Album d'autocollants La maison de poupée - Usborne","50","Indexable",""
"https://www.rougier-ple.fr/meilleures-ventes-beaux-arts.r.html","35","Crayon de couleur Luminance 6901 - Caran d'Ache","47","Pastel à la cire NEOCOLOR II Aquarellable - Caran d'Ache","56","Indexable",""
"https://www.rougier-ple.fr/carte-gratter-carte-pailleter.r.html","29","Cartes à gratter Inspired by Golden Muses - Djeco","49","Cartes à gratter Le pique-nique - Djeco","39","Indexable",""
"https://www.rougier-ple.fr/vernis-colle-pinceau-1592.r.html","35","Set de 3 spalters en poils synthétiques - Rougier&Plé","53","Colle multi-réparations 21ml - Uhu","34","Indexable",""
"https://www.rougier-ple.fr/coloriages-mysteres.r.html","35","Au fil des saisons 40 Coloriages Mystère - Dessain et Tolra","59","Merveilles du monde 40 Coloriages Mystère - Dessain et Tolra","60","Indexable",""
"https://www.rougier-ple.fr/conditions-generales-vente.r.html","0","","0","","0","Indexable",""
"https://www.rougier-ple.fr/encre-1596.r.html","25","L'encre Linogravure 80 ml - Pébéo","33","Encre Relief Pro 473 ml Noir Supergraphic - Speedball","53","Indexable",""
"https://www.rougier-ple.fr/carterie-creative.r.html","4","Matières","8","Supports","8","Indexable",""
"https://www.rougier-ple.fr/tableau-creatif-enfant.r.html","35","Tableau à pailleter Paradisio - Djeco","37","Tableau de Scoubidous Pepsy tifs - Djeco","40","Indexable",""
"https://www.rougier-ple.fr/cuir-1594.r.html","1","Cuir Chagrin 0.45 m² - Rougier&Plé","34","","0","Indexable",""
"https://www.rougier-ple.fr/enfant-perle-bijoux.r.html","35","Coffret de création de bijoux Perles alphabet - Djeco","53","Malette Lasti'Pop de 1 400 élastiques Multi-couleurs - MGM","58","Indexable",""
"https://www.rougier-ple.fr/enfant-fournitures-papeterie.r.html","35","Parapluie enfant Coccinelle - Legami","36","Surligneur BOSS ORIGINAL Le vrai Rouge - Stabilo","48","Indexable",""
"https://www.rougier-ple.fr/loisirs-creatifs-plume.r.html","9","Plume décorative 8cm sachet de 10 - Rayher","42","Plume de Paon 25 cm 3 pcs - Rayher","34","Indexable",""
"https://www.rougier-ple.fr/programme-fidelite.html.r.html","13","ARTICLE 1 : DEFINITIONS","23","ARTICLE 2 : OBJET DE LA CARTE TOUS ARTISTES","43","Indexable",""
"https://www.rougier-ple.fr/beaux-arts/acrylique.r.html","35","Coffret Studio Acrylics haute viscosité 48 x 20 ml - Pébéo","58","Kit Acrylique Campus 8 x 21 ml + châssis entoilé + 3 pinceaux - Raphaël","71","Indexable",""
"https://www.rougier-ple.fr/vernis-patine.r.html","35","Imperméabilisant pour argile Gédéo - Pébéo","42","Axilliaire ramolisseur Soft mix Blanc 56 g - Cernit","51","Indexable",""
"https://www.rougier-ple.fr/adhesifs-masking-tape.r.html","35","Ruban Adhésif Thermorésistant 2 cm x 16 m - Cricut","50","Lot de masking tape Moutons et fleurs 5 m Saute-mouton 2 pcs - Artemio","70","Indexable",""
"https://www.rougier-ple.fr/agenda-calendrier.r.html","24","Planificateur de bureau 2026 - 27,7 x 10,2 cm Bee - Legami","58","Planificateur de bureau 2026 - 27,7 x 10,2 cm Kitty - Legami","60","Indexable",""
"https://www.rougier-ple.fr/pyrogravure.r.html","4","Matières","8","Supports","8","Indexable",""
"https://www.rougier-ple.fr/feutrine-mousse-creative-enfant.r.html","18","Mousse sensorielle Playfoam Licorne - Learning Resources","56","Mousse sensorielle Playfoam Jumbo Pods - Learning Resources","59","Indexable",""
"https://www.rougier-ple.fr/stylo-stylo-feutre.r.html","26","Stylo plume Plumix - Pilot","26","Stylo roller G-1 Grip Encre gel pointe large - Pilot","52","Indexable",""
"https://www.rougier-ple.fr/alginate-moulage.r.html","4","Alginate rose à prise rapide 400 g - Esprit Composite","53","Alginate rose à prise rapide 1 kg - Esprit Composite","52","Indexable",""
"https://www.rougier-ple.fr/modelage.r.html","4","Matières","8","Supports","8","Indexable",""
"https://www.rougier-ple.fr/papier-de-soie-crepon.r.html","10","Papier crépon 40 % 2,50 x 0,5 m Chocolat - Clairefontaine","57","Papier Crépon Fleuriste 25 x 100 cm 10 Couleurs Pastel - Clairefontaine","71","Indexable",""
"https://www.rougier-ple.fr/fusain-crayon-porte-mine.r.html","35","Porte crayon pastel - Sennelier","31","Porte-mine MONO graph 0,7 mm Rose néon - Tombow","47","Indexable",""
"https://www.rougier-ple.fr/decopatch.r.html","4","Matières","8","Supports","8","Indexable",""
"https://www.rougier-ple.fr/feutre-surligneur.r.html","35","Feutre Permanent Joy 1 mm 3 pcs Noir - Cricut","45","Feutre Permanent Joy 1 mm 3 couleurs - Cricut","45","Indexable",""
"https://www.rougier-ple.fr/confection-abat-jour.r.html","4","Matières","8","Supports","8","Indexable",""
"https://www.rougier-ple.fr/moule-gateau-deco-enfant.r.html","35","Moules gâteau en bois Ø 18 cm + caissettes sulfurisées de cuisson - Mirontaine","78","Moules cake en bois 24 cm + caissettes sulfurisées de cuisson - Mirontaine","74","Indexable",""
"https://www.rougier-ple.fr/petites-fournitures.r.html","35","Gomme Master gum 5 pcs - Milan","30","Gomme the Master Gum 1412 - Milan","33","Indexable",""
"https://www.rougier-ple.fr/papier-1585.r.html","35","Papier Dessin blanc Ramette 250 feuilles A3 - Canson","52","Papier Dessin blanc Ramette 250 feuilles A4 160 g/m² - Canson","61","Indexable",""
"https://www.rougier-ple.fr/coffret-beaux-arts.r.html","35","Coffret Huile Studio XL couleurs complémentaires 12 x 20 ml - Pébéo","67","Coffret Studio Acrylics haute viscosité 48 x 20 ml - Pébéo","58","Indexable",""
"https://www.rougier-ple.fr/embellissement-ruban-noeud.r.html","35","Stickers décoratifs - Fleurs en Papier avec demi-perle - 20 pcs - Rayher","72","Boutons de customisation - marron à pois rouges - 2,5 cm - 3 pcs - Recreatys","76","Indexable",""
"https://www.rougier-ple.fr/book-nook.r.html","28","Maison miniature DIY Henry's Chocolate - Rolife","47","Maison miniature DIY Fairytale Tree House - Rolife","50","Indexable",""
"https://www.rougier-ple.fr/chassis-toile.r.html","35","Châssis entoilé lin Figure - Rougier&Plé","40","Châssis Mixte polyester + coton Lot de 4 pcs 40 x 40 cm - Rougier&Plé","69","Indexable",""
"https://www.rougier-ple.fr/perles-repasser-support.r.html","22","Perles à repasser 12 suspensions de Pâques - Perlou","51","Perle à Repasser Mini 2 mm 2000 pcs Chair 4 couleurs - Perlou","61","Indexable",""
"https://www.rougier-ple.fr/ciseaux-cutter.r.html","35","Cutter graphic pro 18 mm","24","Cutter graphic pro 9 mm","23","Indexable",""
"https://www.rougier-ple.fr/peinture-pochoirs-tampons.r.html","35","Set de peinture gouache aux doigts enfant Tacticolor - Pebeo","60","Peinture par numéro Dans les Alpes - Sentosphère","48","Indexable",""
"https://www.rougier-ple.fr/pate-polymere-fimo-1593.r.html","35","Pâte polymère Metallic 56 g - Cernit","36","Pâte polymère Pearl 56 g - Cernit","33","Indexable",""
"https://www.rougier-ple.fr/maquillage.r.html","35","Tatouage Tattoo' Mania Monstres - Avenue Mandarine","50","Maquillage Set de 3 Stylos Pinceaux Aventure - Snazaroo","55","Indexable",""
"https://www.rougier-ple.fr/argile.r.html","17","Argile blanche pour modelage 5kg - Solargil","43","Argile à cuire chamottée 10 kg Faïence Blanche jasmin - Solargil","64","Indexable",""
"https://www.rougier-ple.fr/moulage-enfant.r.html","25","Atelier de moulage Mes espèces protégées Ara bleu - mako moulages","65","Atelier de moulage Le Dragon - mako moulages","44","Indexable",""
"https://www.rougier-ple.fr/loisirs-creatifs/decoden.r.html","35","Douille à Pâtisserie Russe Inox Églantine - ScrapCooking","56","Douille à Pâtisserie Russe Inox Rose - ScrapCooking","51","Indexable",""
"https://www.rougier-ple.fr/calculatrice.r.html","8","Calculatrice Double alimentation Genius - Legami","48","Calculatrice de Poche Flora - Legami","36","Indexable",""
"https://www.rougier-ple.fr/canson.r.html","35","Papier Dessin blanc Ramette 250 feuilles A3 - Canson","52","Papier Dessin blanc Ramette 250 feuilles A4 160 g/m² - Canson","61","Indexable",""
