"Adresse","Type de contenu","Code HTTP","Statut","Crawl profondeur","Liens entrants"
"https://fonts.googleapis.com/css?family=Inter:regular,700,600&display=swap","text/css; charset=utf-8","200","OK","1","0"
"https://www.googletagmanager.com/gtag/js?id=G-2VK9KPVHXT","application/javascript; charset=UTF-8","200","OK","1","0"
"https://oppycx.com/wp-content/uploads/2025/01/totalenergies-logo.png","image/png","200","OK","1","0"
"https://oppycx.com/wp-content/uploads/2024/09/groupe-de-masques-2-3@1x.png","image/png","200","OK","1","0"
"https://oppycx.com/wp-content/uploads/2025/01/oney-logo.png","image/png","200","OK","1","0"
"https://oppycx.com/wp-content/uploads/2024/12/image-10-1024x576.png","image/png","200","OK","1","0"
"https://oppycx.com/wp-content/uploads/2024/12/equipe-experts-e1735656820870.png","image/png","200","OK","1","0"
"https://oppycx.com/wp-content/uploads/2025/01/AXA.jpg","image/jpeg","200","OK","1","0"
"https://www.googletagmanager.com/gtag/js?id=AW-1072293607","application/javascript; charset=UTF-8","200","OK","1","0"
"https://oppycx.com/wp-content/uploads/2024/09/logo-2019-de-la-banque-postale-1@1x.png","image/png","200","OK","1","0"
"https://oppycx.com/wp-content/uploads/2025/01/verisure-logo-png_seeklogo-536375.png","image/png","200","OK","1","0"
"https://oppycx.com/wp-content/uploads/2024/12/image-29-e1733923661273-744x1024.png","image/png","200","OK","1","0"
"https://oppycx.com/wp-content/uploads/2024/09/canal-logo-1@1x.png","image/png","200","OK","1","0"
"https://fonts.googleapis.com/css?family=Roboto+Slab:100,100italic,200,200italic,300,300italic,400,400italic,500,500italic,600,600italic,700,700italic,800,800italic,900,900italic&display=swap","text/css; charset=utf-8","200","OK","1","0"
"https://oppycx.com/wp-content/uploads/2025/01/cacf.jpg","image/jpeg","200","OK","1","0"
"https://oppycx.com/wp-content/uploads/2024/09/groupe-de-masques-1-2@1x.png","image/png","200","OK","1","0"
"https://www.googletagmanager.com/ns.html?id=GTM-5VDM8S35","text/html; charset=UTF-8","200","OK","1","0"
"https://oppyai.fr/sms-email/","text/html; charset=iso-8859-1","301","Moved Permanently","1","2"
"https://oppycx.com/wp-content/uploads/2024/08/credit-card-svgrepo-com-1.png","image/png","200","OK","1","0"
"https://fonts.googleapis.com/css?family=Inter%3A700%2C400%2C700italic%2C400italic&subset=latin&display=fallback&ver=2.19.10","text/css; charset=utf-8","200","OK","1","0"
"https://oppycx.com/wp-content/uploads/2026/03/logo-opportunity-rvb-fondnoir-1024x223.png","image/png","200","OK","1","0"
"https://oppycx.com/wp-content/uploads/2025/01/LA-REDOUTE.jpg","image/jpeg","200","OK","1","0"
"https://www.googletagmanager.com/ns.html?id=GTM-WCX23L27","text/html; charset=UTF-8","200","OK","1","0"
"https://fonts.googleapis.com/css?family=Roboto:100,100italic,200,200italic,300,300italic,400,400italic,500,500italic,600,600italic,700,700italic,800,800italic,900,900italic&display=swap","text/css; charset=utf-8","200","OK","1","0"
"https://oppycx.com/wp-content/uploads/2024/08/emoji-smile-svgrepo-com.png","image/png","200","OK","1","0"
"https://opportunity-crm.com/","text/html; charset=UTF-8","200","OK","1","0"
"https://oppycx.com/wp-content/uploads/2024/09/beobank-1@1x.png","image/png","200","OK","1","0"
"https://oppycx.com/wp-content/uploads/2024/08/phone-svgrepo-com.png","image/png","200","OK","1","0"
"https://oppycx.com/wp-content/uploads/2024/09/bouygues-telecom-1@1x.png","image/png","200","OK","1","0"
"https://oppycx.com/wp-content/uploads/2024/09/ing-group-n-v-logo-1@1x.png","image/png","200","OK","1","0"
"https://oppycx.com/wp-content/uploads/2025/01/LCL_Le_Cr__dit_Lyonnais-logo.png","image/png","200","OK","1","0"
"https://www.facebook.com/OpportunityFr/","text/html; charset=""utf-8""","200","OK","1","85"
"https://oppycx.com/wp-content/uploads/2024/12/medal-1024x1024.png","image/png","200","OK","1","0"
"https://www.linkedin.com/company/opportunity/","text/html; charset=utf-8","200","OK","1","85"
"https://www.google.com/recaptcha/api.js?render=6LcuzT8rAAAAAIX44yzIOXaOK2pMeaDK3EaxCEHs&ver=3.0","text/javascript; charset=utf-8","200","OK","1","0"
"https://www.youtube.com/c/OpportunityParis/videos?view_as=subscriber","application/binary","302","Found","1","85"
"https://x.com/Opportunity_FR","text/html; charset=utf-8","200","OK","1","85"
"https://oppycx.com/wp-content/uploads/2025/02/opportunity_ai.png","image/png","200","OK","1","0"
"https://oppyai.fr/quality-monitoring/","text/html; charset=iso-8859-1","301","Moved Permanently","2","2"
"https://oppycx.com/retention-et-paiement/","text/html; charset=UTF-8","200","OK","2","0"
"https://oppyai.fr/marketing/","text/html; charset=iso-8859-1","301","Moved Permanently","2","1"
"https://oppycx.fr/politique-de-confidentialite/","text/html; charset=UTF-8","200","OK","2","0"
"https://fonts.googleapis.com/css?family=Inter%3A700%2C700italic&subset=latin&display=fallback&ver=2.19.10","text/css; charset=utf-8","200","OK","2","0"
"https://fonts.googleapis.com/css?family=Inter:regular,700&subset=latin&display=swap","text/css; charset=utf-8","200","OK","2","0"
"https://oppycx.com/relation-clients/","text/html; charset=UTF-8","200","OK","2","0"
"https://fonts.googleapis.com/css?family=Inter:regular,700&display=swap","text/css; charset=utf-8","200","OK","2","0"
"https://oppycx.com/gestion-des-cookies/","text/html; charset=UTF-8","200","OK","2","0"
"https://fonts.googleapis.com/css?family=Inter:regular,700|Nunito%20Sans:700&subset=latin&display=swap","text/css; charset=utf-8","200","OK","3","0"
"https://oppycx.com/wp-content/uploads/2024/12/call-voicebot-e1735641121173.png","image/png","200","OK","3","0"
"https://fonts.googleapis.com/css?family=Inter:regular,700,600&subset=latin&display=swap","text/css; charset=utf-8","200","OK","3","0"
"https://oppycx.com/wp-content/uploads/2024/12/image-24.png","image/png","200","OK","3","0"
"https://oppyai.fr/agents-ia-vocaux/","text/html; charset=iso-8859-1","301","Moved Permanently","3","5"
"https://oppycx.com/wp-content/uploads/2024/12/image-33-e1733935919782.png","image/png","200","OK","3","0"
"https://oppycx.com/wp-content/uploads/2024/12/image-34-e1733936264126-1024x688.png","image/png","200","OK","3","0"
"https://oppycx.com/wp-content/uploads/2025/02/voice.jpg","image/jpeg","200","OK","3","0"
"https://oppyai.fr/whatsapp-marketing/","text/html; charset=iso-8859-1","301","Moved Permanently","3","7"
"https://oppycx.com/sms-email/","text/html; charset=UTF-8","200","OK","3","0"
"https://oppycx.com/wp-content/uploads/2024/12/image-23.png","image/png","200","OK","3","0"
"https://oppyai.fr/message-rcs-campagne-marketing/","text/html; charset=iso-8859-1","301","Moved Permanently","3","1"
"https://oppycx.com/wp-content/uploads/2024/12/image-22.png","image/png","200","OK","3","0"
"https://oppycx.com/wp-content/uploads/2024/12/image-27-e1733924204991-825x1024.png","image/png","200","OK","3","0"
"https://oppycx.com/wp-content/uploads/2024/12/omnicanal-e1734946753519.png","image/png","200","OK","3","0"
"https://oppycx.com/wp-content/uploads/2024/12/joignabilite-e1734946549397.png","image/png","200","OK","3","0"
"https://oppycx.com/wp-content/uploads/2024/12/pci-dss.png","image/png","200","OK","3","0"
"https://www.allmysms.com/","text/html; charset=UTF-8","200","OK","3","1"
"https://oppyai.fr/wp-content/uploads/2024/09/omni_illustration_prise_de_RDV-1.png","text/html; charset=iso-8859-1","301","Moved Permanently","3","0"
"https://www.oppycx.com/agent-ia-vocal/","text/html; charset=UTF-8","200","OK","3","0"
"https://assets.calendly.com/assets/external/widget.js","text/javascript","200","OK","3","0"
"https://oppycx.com/wp-content/uploads/2024/11/Group-51.png","image/png","200","OK","3","0"
"https://oppycx.com/wp-content/uploads/2025/01/oppyAI-interactif.png","image/png","200","OK","3","0"
"https://oppyai.fr/wp-content/uploads/2024/11/mdi-verified-user.png","text/html; charset=iso-8859-1","301","Moved Permanently","3","0"
"https://www.youtube.com/embed/z9hr-JB6i9c?feature=oembed","text/html; charset=utf-8","200","OK","3","0"
"https://oppycx.com/wp-content/uploads/2025/05/Avantages_du_RCS_sur_le_SMS__et_ses_limites.png","image/png","200","OK","3","0"
"https://oppycx.fr/allmysms/","text/html; charset=UTF-8","200","OK","3","0"
"https://oppycx.com/wp-content/uploads/2024/11/fxemoji-lock.png","image/png","200","OK","3","0"
