"Adresse","Occurrences","Meta Robots 1","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","Version canonique HTTP","Indexabilité","Statut d'indexabilité"
"https://www.oppy.ai/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://opportunity-crm.com/","","Non indexable","Canonisé"
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/includes/assets/js/kt-tabs.min.js?ver=3.5.11","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/themes/kadence/assets/css/header.min.css?ver=1.2.26","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/includes/assets/js/popper.min.js?ver=3.5.11","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/uagb-button-child.min.js?ver=2.19.10","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/slick.min.js?ver=2.19.10","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/includes/assets/js/kb-tippy.min.js?ver=3.5.11","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/themes/kadence/assets/css/footer.min.css?ver=1.2.26","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/themes/kadence-child/style.css?ver=bab062fd42cb01a60133b38393d88267","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/themes/kadence/style.css?ver=bab062fd42cb01a60133b38393d88267","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/contact-form-7/includes/js/index.js?ver=6.1","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/wp-statistics/assets/js/tracker.js?ver=14.15.1","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/themes/kadence/assets/js/navigation.min.js?ver=1.2.26","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/themes/kadence-child/css/audio-bar.css?ver=1.0.0","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/contact-form-7/modules/recaptcha/index.js?ver=6.1","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/uploads/elementor/css/post-369.css?ver=1773673874","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/themes/kadence-child/css/block-call-to-action.css?ver=1.0.0","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/spectra-block-positioning.min.css?ver=2.19.10","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/dist/style-blocks-rowlayout.css?ver=3.5.11","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/0/uag-js-8.js?ver=1774194342","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/themes/kadence/assets/css/content.min.css?ver=1.2.26","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/dist/style-blocks-advancedbtn.css?ver=3.5.11","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/themes/kadence/assets/css/global.min.css?ver=1.2.26","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/isotope.min.js?ver=2.19.10","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/themes/kadence-child/js/cookie-banner.js?ver=1742804641","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/themes/kadence-child/js/contact-form-country.js?ver=1743764502","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/gutenberg/build/block-library/style.css?ver=21.0.0","0","","","","","","Indexable",""
"https://www.oppy.ai/gestion-des-cookies/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://oppycx.com/gestion-des-cookies/","","Non indexable","Canonisé"
"https://www.oppy.ai/wp-content/themes/kadence-child/js/custom-header.js","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/imagesloaded.min.js?ver=2.19.10","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/slick.min.css?ver=2.19.10","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/dist/style-blocks-infobox.css?ver=3.5.11","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/image-gallery.min.js?ver=2.19.10","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/spectra-block-positioning.min.js?ver=2.19.10","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/swiper-bundle.min.js?ver=2.19.10","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=6.1","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.35.6","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/dist/style-blocks-tabs.css?ver=3.5.11","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/dist/style-blocks-image.css?ver=3.5.11","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/dist/style-blocks-column.css?ver=3.5.11","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/themes/kadence-child/images/logo-opportunity-rvb.png","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/0/uag-css-8.css?ver=1774194342","0","","","","","","Indexable",""
"https://www.oppy.ai/relation-clients/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://oppycx.com/relation-clients/","","Non indexable","Canonisé"
"https://www.oppy.ai/retention-et-paiement/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://oppycx.com/retention-et-paiement/","","Non indexable","Canonisé"
"https://www.oppy.ai/wp-content/themes/kadence-child/css/cookie-banner.css?ver=1742804641","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/themes/kadence-child/js/audio-bar.js?ver=1.0.0","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/gutenberg/build/i18n/index.min.js?ver=bd5a2533e717a1043151","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/plugins/gutenberg/build/hooks/index.min.js?ver=84e753e2b66eb7028d38","0","","","","","","Indexable",""
"https://www.oppy.ai/mentions-legales/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://oppy.ai/mentions-legales/","","Non indexable","Canonisé"
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/swiper-bundle.min.css?ver=2.19.10","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/0/uag-css-80.css?ver=1774194372","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/uploads/2024/12/image-17.png","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/uploads/2024/12/image-19.png","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/0/uag-css-328.css?ver=1774194371","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/0/uag-js-328.js?ver=1774194371","0","","","","","","Indexable",""
"https://www.oppy.ai/politique-de-confidentialite/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://oppycx.fr/politique-de-confidentialite/","","Non indexable","Canonisé"
"https://www.oppy.ai/wp-content/uploads/2024/12/image-16.png","0","","","","","","Indexable",""
"https://oppy.ai/mentions-legales/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://oppy.ai/mentions-legales/","","Indexable",""
"https://www.oppy.ai/signature-vocale/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://oppycx.com/signature-vocale/","","Non indexable","Canonisé"
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/0/uag-css-82.css?ver=1774194373","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/uploads/2024/12/image-18.png","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/uploads/2024/12/image-20.png","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/uploads/2024/12/image-21-1024x576.png","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/0/uag-js-324.js?ver=1774194371","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/uploads/uag-plugin/assets/0/uag-css-324.css?ver=1774194371","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/uploads/2024/12/image-40-e1733998247615.png","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/uploads/2024/12/image-35-e1733992939984.png","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/uploads/2024/12/image-36-e1733993135819.png","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/uploads/2024/12/image-39-e1733997617404.png","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/uploads/2024/12/image-37-e1733993322768.png","0","","","","","","Indexable",""
"https://www.oppy.ai/wp-content/uploads/2024/12/relation.png","0","","","","","","Indexable",""
"https://www.oppy.ai/blog/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.opportunity-crm.com/blog/","","Non indexable","Canonisé"
