"Adresse","Title 1","Occurrences","Hreflang HTML 1","URL hreflang HTML 1","Hreflang HTML 2","URL hreflang HTML 2","Hreflang HTML 3","URL hreflang HTML 3","Hreflang HTTP 1","URL hreflang HTTP 1","Hreflang du sitemap 1","URL hreflang du sitemap 1","Indexabilité","Statut d'indexabilité"
"https://www.promovacances.com/","Agence de voyage : voyages pas chers Promovacances","3","fr-FR","https://www.promovacances.com/","fr-BE","https://www.promovacances.be/","x-default","https://www.promovacances.com/","","","","","Indexable",""
"https://www.promovacances.com/destinations/vacances-et-sejours/vacances-en-famille/theme,28/","Vacances en famille : nos destinations 2026","3","fr-FR","https://www.promovacances.com/destinations/vacances-et-sejours/vacances-en-famille/theme,28/","fr-BE","https://www.promovacances.be/destinations/vacances-et-sejours/vacances-en-famille/theme,28/","x-default","https://www.promovacances.com/destinations/vacances-et-sejours/vacances-en-famille/theme,28/","","","","","Indexable",""
"https://www.promovacances.com/information/","A propos de nous - Promovacances","3","fr-FR","https://www.promovacances.com/information/","fr-BE","https://www.promovacances.be/information/","x-default","https://www.promovacances.com/information/","","","","","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-italie/","Voyage Italie : Vacances, Hôtels & Circuits en Italie","3","fr-FR","https://www.promovacances.com/vacances-sejour-hotel/voyage-italie/","fr-BE","https://www.promovacances.be/vacances-sejour-hotel/voyage-italie/","x-default","https://www.promovacances.com/vacances-sejour-hotel/voyage-italie/","","","","","Indexable",""
"https://www.promovacances.com/idees-vacances/vacances-disney/","Billet Disneyland Paris pas cher, hôtel Disney","3","fr-FR","https://www.promovacances.com/idees-vacances/vacances-disney/","fr-BE","https://www.promovacances.be/idees-vacances/vacances-disney/","x-default","https://www.promovacances.com/idees-vacances/vacances-disney/","","","","","Indexable",""
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-maroc/theme,/pays,149/ville,/","Circuit Maroc | 120 offres de circuits touristiques","3","fr-FR","https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-maroc/theme,/pays,149/ville,/","fr-BE","https://www.promovacances.be/vacances/circuit-touristique/sejour-circuit-maroc/theme,/pays,149/ville,/","x-default","https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-maroc/theme,/pays,149/ville,/","","","","","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-dubai-city/dubai-et-emirats-emirats-arabes-unis/","Voyage Dubaï : séjours vol + hôtel au meilleur prix","3","fr-FR","https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-dubai-city/dubai-et-emirats-emirats-arabes-unis/","fr-BE","https://www.promovacances.be/vacances-sejour-hotel/voyage-hotel-dubai-city/dubai-et-emirats-emirats-arabes-unis/","x-default","https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-dubai-city/dubai-et-emirats-emirats-arabes-unis/","","","","","Indexable",""
"https://www.promovacances.com/hotel-sagitario-princesa-playa/minorque-ciutadella-47475.html","Hôtel Sagitario Princesa Playa Ciutadella Minorque","3","fr-FR","https://www.promovacances.com/hotel-sagitario-princesa-playa/minorque-ciutadella-47475.html","fr-BE","https://www.promovacances.be/hotel-sagitario-princesa-playa/minorque-ciutadella-47475.html","x-default","https://www.promovacances.com/hotel-sagitario-princesa-playa/minorque-ciutadella-47475.html","","","","","Indexable",""
"https://www.promovacances.com/france/campings-france/","Camping France bord de mer & montagne","3","fr-FR","https://www.promovacances.com/france/campings-france/","fr-BE","https://www.promovacances.be/france/campings-france/","x-default","https://www.promovacances.com/france/campings-france/","","","","","Indexable",""
"https://www.promovacances.com/voyage-pas-cher/vacances-pas-chers/","Vacances scolaires 2026 et séjours vacances pas cher","3","fr-FR","https://www.promovacances.com/voyage-pas-cher/vacances-pas-chers/","fr-BE","https://www.promovacances.be/voyage-pas-cher/vacances-pas-chers/","x-default","https://www.promovacances.com/voyage-pas-cher/vacances-pas-chers/","","","","","Indexable",""
