"Adresse","Code HTTP","Title 1","Indexabilité","Statut d'indexabilité"
"https://www.promovacances.com/affiliation/","0","","Non indexable","Bloqué par robots.txt"
"https://www.promovacances.com/voyage-responsable/","0","","Non indexable","Bloqué par robots.txt"
"https://www.promovacances.com/","200","Agence de voyage : voyages pas chers Promovacances","Indexable",""
"https://www.promovacances.com/destinations/vacances-et-sejours/vacances-en-famille/theme,28/","200","Vacances en famille : nos destinations 2026","Indexable",""
"https://www.promovacances.com/information/","200","A propos de nous - Promovacances","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-italie/","200","Voyage Italie : Vacances, Hôtels & Circuits en Italie","Indexable",""
"https://www.promovacances.com/idees-vacances/vacances-disney/","200","Billet Disneyland Paris pas cher, hôtel Disney","Indexable",""
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-maroc/theme,/pays,149/ville,/","200","Circuit Maroc | 120 offres de circuits touristiques","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-dubai-city/dubai-et-emirats-emirats-arabes-unis/","200","Voyage Dubaï : séjours vol + hôtel au meilleur prix","Indexable",""
"https://www.promovacances.com/hotel-sagitario-princesa-playa/minorque-ciutadella-47475.html","200","Hôtel Sagitario Princesa Playa Ciutadella Minorque","Indexable",""
"https://www.promovacances.com/france/campings-france/","200","Camping France bord de mer & montagne","Indexable",""
"https://www.promovacances.com/voyage-pas-cher/vacances-pas-chers/","200","Vacances scolaires 2026 et séjours vacances pas cher","Indexable",""
"https://www.promovacances.com/idees-vacances/offres-croisieres-iles-grenadines/","200","Croisières en catamaran dans les Caraïbes | Promovacances","Indexable",""
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-mexique/theme,/pays,153/ville,/","200","Circuit Mexique | 95 offres de circuits touristiques","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-tanzanie/","200","Voyage Tanzanie : séjours tout compris et safaris dès 849 €","Indexable",""
"https://www.promovacances.com/croisiere-egypte/gloire-des-pharaons-79859.html","200","Croisiere Gloire des Pharaons 5* Egypte - Promovacances","Indexable",""
"https://www.promovacances.com/hotel-jumbo-riu-lupita/mexique-playa-del-carmen-61611.html","200","Club Jumbo Riu Lupita Playa del Carmen Mexique","Indexable",""
"https://www.promovacances.com/hotel-ramada-attica-riviera/grece-vravrona-59188.html","200","Hôtel Ramada Attica Riviera Vravrona Grece","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-egypte/","200","Voyage Egypte, séjours pas chers & circuits","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-oman/","200","Voyage Oman dès 751€, vacances et séjour Oman","Indexable",""
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-egypte/theme,/pays,62/ville,/","200","Circuit Egypte | 231 offres de circuits touristiques","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-bali/indonesie/","200","","Indexable",""
"https://www.promovacances.com/destinations/week-end-pas-cher/sejour-week-end/theme,/","200","Court séjour et Week end : toutes nos destinations en week end et court séjour en France et à l'étranger","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-madere/","200","Voyage Madère : séjours et tout compris dès 441€","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-ile-maurice/","200","Voyage Île Maurice dès 799€ | Séjours tout compris & circuits","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-portugal/","200","Voyage Portugal : séjours et circuits pas chers","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-grece/","200","Voyage Grèce dès 391€, vacances et séjour Grece","Non indexable","noindex"
"https://www.promovacances.com/circuit-thailande/essentiels-de-la-thailande-62681.html","200","Circuit Essentiels de la Thailande Thailande - Promovacances","Indexable",""
"https://www.promovacances.com/accueil/ski/","200","Vacances ski, séjour ski pas cher","Indexable",""
"https://www.promovacances.com/france/club-le-village-des-isles-haute-corse-taglio-48641.html","200","Club Le Village des Isles Taglio France Corse","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-sardaigne/italie/","200","Voyage Sardaigne pas cher, séjour Sardaigne","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-sri-lanka/","200","Voyage Sri Lanka : séjours vol + hôtel tout compris & circuits","Indexable",""
"https://www.promovacances.com/idees-vacances/partir/vacances-avril/","200","Où partir au soleil en avril ? Les meilleures destinations","Indexable",""
"https://www.promovacances.com/hotel-framissima-elion-seaside-resort/grece-vassilikos-74259.html","200","Club Framissima Elion Seaside Resort Vassilikos Grece","Indexable",""
"https://www.promovacances.com/circuit-corse/decouverte-dexception-propriano-les-pieds-dans-leau-au-belambra-arena-bianca-79798.html","200","Circuit Découverte d’exception - Propriano, les pieds dans l’eau au Belambra Arena Bianca 3* France Corse - Promovacances","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-malte/","200","Voyage Malte dès 281€, vacances et séjour Malte","Indexable",""
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-canada/theme,/pays,37/ville,/","200","Circuit Canada 12 à 15 jours : vol + hôtel avec guide","Indexable",""
"https://www.promovacances.com/accueil/france/","200","Voyage France : vacances pas cher","Indexable",""
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-inde/theme,/pays,118/ville,/","200","Circuit Inde 10 jours , vols, hôtels & visites inclus","Indexable",""
"https://www.promovacances.com/hotel-jumbo-hammamet-beach/tunisie-hammamet-53550.html","200","Club Jumbo Hammamet Beach Hammamet Tunisie","Indexable",""
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-costa-rica/theme,/pays,52/ville,/","200","Circuit Costa Rica | 77 offres de circuits touristiques","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-baleares/espagne/","200","Vacances Baléares : voyages et séjours","Indexable",""
"https://www.promovacances.com/hotel-jumbo-petit-village-proche-palmariva/grece-eretria-75582.html","200","Club Jumbo Petit Village (proche Palmariva) Eretria Grece","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-japon/","200","Voyage Japon dès €, vacances et séjour Japon","Indexable",""
